Entity,DBpedia_URI
NFL,http://dbpedia.org/resource/National_Football_League
Sheila Miyoshi Jager,http://dbpedia.org/resource/Sheila_Miyoshi_Jager
the Iraq War,http://dbpedia.org/resource/Iraq_War
Harvard Law,http://dbpedia.org/resource/Harvard_University
Los Angeles,http://dbpedia.org/resource/Los_Angeles
Shiloh Baptist Church,http://dbpedia.org/resource/Battle_of_Shiloh
the U.S. Embassy,http://dbpedia.org/resource/Diplomatic_mission
Hawaii,http://dbpedia.org/resource/Hawaii
Navy,http://dbpedia.org/resource/United_States_Navy
the Fair Housing Act,http://dbpedia.org/resource/Civil_Rights_Act_of_1968
the American Civil War,http://dbpedia.org/resource/American_Civil_War
Luo Kenyan,http://dbpedia.org/resource/Luo_people
the University of Nairobi,http://dbpedia.org/resource/Nairobi
General Motors,http://dbpedia.org/resource/General_Motors
Bruce Springsteen,http://dbpedia.org/resource/Bruce_Springsteen
The Shoah Foundation Institute for Visual History and Education's,http://dbpedia.org/resource/The_Holocaust
Dwight D. Eisenhower,http://dbpedia.org/resource/Dwight_D._Eisenhower
Illinois,http://dbpedia.org/resource/Illinois
the Religious Freedom Restoration Act,http://dbpedia.org/resource/Religious_Freedom_Restoration_Act
the Cuban Thaw,http://dbpedia.org/resource/Cuban_thaw
"Barack Obama
List",http://dbpedia.org/resource/Barack_Obama
Ancestry.com,http://dbpedia.org/resource/Ancestry.com
Jimmy Carter,http://dbpedia.org/resource/Jimmy_Carter
LibriVox,http://dbpedia.org/resource/LibriVox
"University of Chicago Law School 
",http://dbpedia.org/resource/Chicago
Medicaid,http://dbpedia.org/resource/Medicaid
NASA,http://dbpedia.org/resource/NASA
the White House Task Force to Protect Students,http://dbpedia.org/resource/White_House
Chicago South Side,http://dbpedia.org/resource/Chicago
Afghanistan,http://dbpedia.org/resource/Afghanistan
State Elementary School Menteng,http://dbpedia.org/resource/Menteng
Alice Palmer,http://dbpedia.org/resource/Alice_Palmer_(politician)
Hezbollah,http://dbpedia.org/resource/Hezbollah
Abraham Lincoln,http://dbpedia.org/resource/Abraham_Lincoln
Osama bin Laden,http://dbpedia.org/resource/Osama_bin_Laden
Pakistan,http://dbpedia.org/resource/Pakistan
Barack Hussein Obama II,http://dbpedia.org/resource/Barack_Obama
Hurricane Irma,http://dbpedia.org/resource/Hurricane_Irma
the Arab Spring,http://dbpedia.org/resource/Arab_Spring
Delaware,http://dbpedia.org/resource/Delaware
Sinjar,http://dbpedia.org/resource/Sinjar
COVID-19,http://dbpedia.org/resource/Coronavirus_disease_2019
"Osama bin Laden
",http://dbpedia.org/resource/Osama_bin_Laden
Benjamin Netanyahu,http://dbpedia.org/resource/Benjamin_Netanyahu
Cuba,http://dbpedia.org/resource/Cuba
the United States Armed Forces,http://dbpedia.org/resource/United_States_Armed_Forces
Altgeld Gardens,http://dbpedia.org/resource/Altgeld_Gardens_Homes
Julian Zelizer,http://dbpedia.org/resource/Julian_calendar
Fiat,http://dbpedia.org/resource/Fiat_Automobiles
Courage Award,http://dbpedia.org/resource/Courage
Muammar Gaddafi,http://dbpedia.org/resource/Muammar_Gaddafi
Citibank Federal Savings Bank,http://dbpedia.org/resource/Citibank
Ethiopia,http://dbpedia.org/resource/Ethiopia
Jefferson Davis,http://dbpedia.org/resource/Jefferson_Davis
the Robert F. Kennedy Center for Justice,http://dbpedia.org/resource/Robert_F._Kennedy
the Gamaliel Foundation,http://dbpedia.org/resource/Gamaliel_Foundation
Medicare Advantage,http://dbpedia.org/resource/Medicare_Advantage
The New York Times,http://dbpedia.org/resource/The_New_York_Times
the Arab League,http://dbpedia.org/resource/Arab_League
Madelyn Dunham,http://dbpedia.org/resource/Madelyn_Dunham
the University of Chicago Laboratory Schools,http://dbpedia.org/resource/Chicago
CIA,http://dbpedia.org/resource/Central_Intelligence_Agency
Occidental College,http://dbpedia.org/resource/Occidental_College
Crain's Chicago Business,http://dbpedia.org/resource/Chicago
Barack Obama,http://dbpedia.org/resource/Barack_Obama
Jeffrey Goldberg,http://dbpedia.org/resource/Jeffrey_Goldberg
the International Herald Tribune,http://dbpedia.org/resource/The_New_York_Times_International_Edition
Harvard University,http://dbpedia.org/resource/Harvard_University
Timothy Geithner,http://dbpedia.org/resource/Timothy_Geithner
Native American,http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
Sonia Sotomayor,http://dbpedia.org/resource/Sonia_Sotomayor
The Huffington Post,http://dbpedia.org/resource/HuffPost
Saudi Arabia,http://dbpedia.org/resource/Saudi_Arabia
the White House,http://dbpedia.org/resource/White_House
Crimea,http://dbpedia.org/resource/Crimea
Honolulu,http://dbpedia.org/resource/Honolulu
the White House Council on Women and Girls and Office,http://dbpedia.org/resource/White_House
the Interior Ken Salazar,http://dbpedia.org/resource/Ken_Salazar
South Africa,http://dbpedia.org/resource/South_Africa
Sarah Palin,http://dbpedia.org/resource/Sarah_Palin
Senate,http://dbpedia.org/resource/United_States_Senate
Punahou School,http://dbpedia.org/resource/Punahou_School
"Barack Obama

Lists
Assassination",http://dbpedia.org/resource/Barack_Obama
Iran,http://dbpedia.org/resource/Iran
ISIS,http://dbpedia.org/resource/Islamic_State_of_Iraq_and_the_Levant
the Equal Credit Opportunity Act,http://dbpedia.org/resource/Equal_Credit_Opportunity_Act
al-Qaeda,http://dbpedia.org/resource/Al-Qaeda
Pope Francis,http://dbpedia.org/resource/Pope_Francis
the Academy Award for Best Documentary Feature,http://dbpedia.org/resource/Academy_Awards
Columbia University,http://dbpedia.org/resource/Columbia_University
New York City,http://dbpedia.org/resource/New_York_City
the Joyce Foundation,http://dbpedia.org/resource/Joyce_Foundation
Joe Biden,http://dbpedia.org/resource/Joe_Biden
Dmitry Medvedev,http://dbpedia.org/resource/Dmitry_Medvedev
Al Arabiya,http://dbpedia.org/resource/Al_Arabiya
Zionist,http://dbpedia.org/resource/Zionism
Saudi,http://dbpedia.org/resource/Saudi_Arabia
Raúl Castro,http://dbpedia.org/resource/Raúl_Castro
Seattle,http://dbpedia.org/resource/Seattle
Evergreen Chapel at Camp David,http://dbpedia.org/resource/Camp_David
Wailuku,http://dbpedia.org/resource/Wailuku_River
Abbottabad,http://dbpedia.org/resource/Abbottabad
the University of Hawaiʻi,http://dbpedia.org/resource/Hawaii
David Petraeus,http://dbpedia.org/resource/David_Petraeus
Tim Kaine,http://dbpedia.org/resource/Tim_Kaine
Islamabad,http://dbpedia.org/resource/Islamabad
the Chicago White Sox,http://dbpedia.org/resource/Chicago_White_Sox
LGBT,http://dbpedia.org/resource/LGBT
Egypt,http://dbpedia.org/resource/Egypt
the Illinois Senate,http://dbpedia.org/resource/Illinois_Senate
Labor,http://dbpedia.org/resource/Australian_Labor_Party
Iowa,http://dbpedia.org/resource/Iowa
Tony Rezko,http://dbpedia.org/resource/Tony_Rezko
Chrysler,http://dbpedia.org/resource/Chrysler
Massachusetts,http://dbpedia.org/resource/Massachusetts
the New York Public Interest Research Group,http://dbpedia.org/resource/New_York_Public_Interest_Research_Group
East Jerusalem,http://dbpedia.org/resource/East_Jerusalem
Super Bowl,http://dbpedia.org/resource/Super_Bowl
UN Security Council Resolution,http://dbpedia.org/resource/United_Nations_Security_Council
Bill Clinton's,http://dbpedia.org/resource/Bill_Clinton
Donald Trump,http://dbpedia.org/resource/Donald_Trump
Franklin D. Roosevelt,http://dbpedia.org/resource/Benjamin_Franklin
