Entity,Hypernym
Grammy_Award_for_Best_Spoken_Word_Album,Not found
Benjamin_Netanyahu,Not found
Tim_Kaine,Not found
Harvard_Law_Review,Review
Yemen,Country
Osama_bin_Laden,Founder
Madelyn_Dunham,Grandmother
John_McCain,Not found
Occidental_College,College
Valerie_Jarrett,Official
Syrian_Civil_War,Not found
Mahmoud_Abbas,Not found
2014_Winter_Olympics,Event
Illinois_Senate,Chamber
Battle_of_Shiloh,Battle
South_Jakarta,City
Michelle_Obama,Lawyer
Sonia_Sotomayor,Justice
Sochi,City
Syria,Country
Rush_(band),Band
Shooting_of_Michael_Brown,Not found
Laurence_Tribe,Professor
HIV,Not found
"Don't_Ask,_Don't_Tell_Repeal_Act_of_2010",United
82nd_Airborne_Division,Division
Illinois,State
Elena_Kagan,Justice
Democratic_National_Convention,Series
Barack_Obama_Presidential_Center,Library
Barack_Obama,Politician
Cairo_University,Egypt
Sanaʽa,Not found
Joe_Biden,Not found
United_Nations_Security_Council_Resolution_2334,Not found
Palestinian_National_Authority,Body
1985_Chicago_Bears_season,Not found
Menteng,Subdistrict
Ken_Salazar,Not found
Obergefell_v._Hodges,Not found
National_Football_League,League
Sheila_Miyoshi_Jager,Not found
Iraq_War,Conflict
Harvard_University,University
Los_Angeles,City
Diplomatic_mission,Group
Hawaii,Not found
United_States_Navy,Branch
Civil_Rights_Act_of_1968,Not found
American_Civil_War,War
Luo_people,Not found
Nairobi,Capital
General_Motors,Corporation
Bruce_Springsteen,Musician
The_Holocaust,Genocide
Dwight_D._Eisenhower,Not found
Religious_Freedom_Restoration_Act,Not found
Cuban_thaw,Not found
Ancestry.com,Not found
Jimmy_Carter,Not found
LibriVox,Group
Chicago,Not found
Medicaid,Program
NASA,Agency
White_House,Residence
Afghanistan,Country
Alice_Palmer_(politician),Educator
Hezbollah,Shi
Abraham_Lincoln,President
Pakistan,Country
Hurricane_Irma,Not found
Arab_Spring,Wave
Delaware,States
Sinjar,Town
Coronavirus_disease_2019,Not found
Cuba,State
United_States_Armed_Forces,Forces
Altgeld_Gardens_Homes,Not found
Julian_calendar,Reform
Fiat_Automobiles,Automaker
Courage,Choice
