Entity,DBpedia_URI
Brandenburg,http://dbpedia.org/resource/Brandenburg
Austria,http://dbpedia.org/resource/Austria
Imperial Diet,http://dbpedia.org/resource/National_Diet
"the Fortune Global 500, 32",http://dbpedia.org/resource/Fortune_Global_500
Hugo Boss,http://dbpedia.org/resource/Hugo_Boss
the Hainich National Park,http://dbpedia.org/resource/Hainich_National_Park
Walter Gropius,http://dbpedia.org/resource/Walter_Gropius
Mercedes-Benz,http://dbpedia.org/resource/Mercedes-Benz
Abitur,http://dbpedia.org/resource/Abitur
Charles VI,http://dbpedia.org/resource/Charles_VI_of_France
Switzerland,http://dbpedia.org/resource/Switzerland
the Federal Labour Court,http://dbpedia.org/resource/Federal_Labour_Court
the Black Forest National Park,http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census
Deutsches Wörterbuch,http://dbpedia.org/resource/Deutsches_Wörterbuch
the Federal Constitutional Court,http://dbpedia.org/resource/Federal_Constitutional_Court
Frankfurt Stock Exchange,http://dbpedia.org/resource/Frankfurt_Stock_Exchange
Evangelical,http://dbpedia.org/resource/Evangelicalism
Hermann Hesse,http://dbpedia.org/resource/Hesse
Serbia,http://dbpedia.org/resource/Serbia
Rome,http://dbpedia.org/resource/Rome
Tangerine Dream,http://dbpedia.org/resource/Tangerine
Hans Holbein,http://dbpedia.org/resource/Hans_Holbein_the_Younger
World War I,http://dbpedia.org/resource/World_War_I
Die Wende,http://dbpedia.org/resource/Peaceful_Revolution
Federal Social Court,http://dbpedia.org/resource/Federal_Social_Court
Arthur Schopenhauer's,http://dbpedia.org/resource/King_Arthur
Julius Caesar,http://dbpedia.org/resource/Julius_Caesar
Ludwig van Beethoven,http://dbpedia.org/resource/Ludwig_van_Beethoven
Kosovo,http://dbpedia.org/resource/Kosovo
the Neander Valley,http://dbpedia.org/resource/Neanderthal
Robert Schumann,http://dbpedia.org/resource/Robert_Schumann
the Lower Paleolithic,http://dbpedia.org/resource/Lower_Paleolithic
the Lisbon Treaty,http://dbpedia.org/resource/Treaty_of_Lisbon
Oscar,http://dbpedia.org/resource/Academy_Awards
the Leibniz Association,http://dbpedia.org/resource/Leibniz_Association
Wolfram von Eschenbach,http://dbpedia.org/resource/Wolfram_von_Eschenbach
Babelsberg Studio,http://dbpedia.org/resource/Babelsberg_Studio
Munich,http://dbpedia.org/resource/Munich
the UEFA European Championship,http://dbpedia.org/resource/UEFA_European_Championship
the United Nations,http://dbpedia.org/resource/United_Nations
Frisians,http://dbpedia.org/resource/Frisians
Greece,http://dbpedia.org/resource/Greece
Die Brücke,http://dbpedia.org/resource/Die_Brücke
Baden-Württemberg,http://dbpedia.org/resource/Baden-Württemberg
Augsburg,http://dbpedia.org/resource/Augsburg
Saterland Frisian,http://dbpedia.org/resource/Saterland
Federal Administrative Court,http://dbpedia.org/resource/Federal_Administrative_Court_(Germany)
the European Space Agency,http://dbpedia.org/resource/European_Space_Agency
European Film Awards,http://dbpedia.org/resource/European_Film_Awards
Holocaust,http://dbpedia.org/resource/The_Holocaust
World War I.,http://dbpedia.org/resource/World_War_I
The Peace of Westphalia,http://dbpedia.org/resource/Westphalia
the European Commission,http://dbpedia.org/resource/European_Commission
Venus of Hohle Fels,http://dbpedia.org/resource/Venus
Bonn,http://dbpedia.org/resource/Bonn
Herero,http://dbpedia.org/resource/Herero_people
Volksmusik,http://dbpedia.org/resource/Volksmusik
Heidelberg Castle,http://dbpedia.org/resource/Heidelberg_Castle
Proto-Indo-European,http://dbpedia.org/resource/Proto-Indo-European_language
Werkbund,http://dbpedia.org/resource/Deutscher_Werkbund
Kristallnacht,http://dbpedia.org/resource/Kristallnacht
The House of Habsburg,http://dbpedia.org/resource/House_of_Habsburg
the FIFA Confederations Cup,http://dbpedia.org/resource/FIFA
