Entity,Hypernym
Friedrich_Nietzsche,Philosopher
Robert_Bosch_GmbH,Engineering
FIFA,Body
Bundestag,Body
Adidas,Corporation
Charles_VI_of_France,King
Georg_Wilhelm_Friedrich_Hegel,Philosopher
European_Economic_Community,Organisation
North_German_Confederation,Federation
Adolf_Hitler,Politician
Leibniz_Association,Union
The_Tin_Drum,Novel
Otto_von_Bismarck,Not found
Aachen,Spa
Denmark,Country
East_Francia,Not found
Berlin,Capital
Hugo_Boss,Company
Austria,Republic
Bundesrat_of_Germany,Body
Friedrich_Wilhelm_Joseph_Schelling,Philosopher
Ludwig_van_Beethoven,Composer
Hermann_von_Helmholtz,Physician
Siemens,Company
King_Arthur,Leader
Holy_Roman_Empire,Complex
Allianz,Company
Hermann_Muthesius,Architect
Richard_Wagner,Composer
Francis_I_of_France,King
Maria_Theresa,Not found
Lusatia,Region
Berlin_International_Film_Festival,World
Deutscher_Werkbund,Association
Czech_Republic,Country
Frank-Walter_Steinmeier,Not found
West_Germany,Name
Fraunhofer_Society,Organization
Friedrich_Engels,Philosopher
Deutsche_Telekom,Company
Bundeswehr,Forces
World_War_II,War
OECD,Not found
Luftwaffe,Branch
Federal_Social_Court,Not found
Volkswagen,Manufacturer
Gottfried_Böhm,Architect
Federal_Administrative_Court_(Germany),Not found
Max_Planck_Society,Not found
Ludwig_Mies_van_der_Rohe,Architect
Brandenburg,States
National_Diet,Japan
Fortune_Global_500,Not found
Hainich_National_Park,Park
Walter_Gropius,Architect
Mercedes-Benz,Manufacturer
Abitur,Designation
Switzerland,Country
Federal_Labour_Court,Not found
Race_and_ethnicity_in_the_United_States_Census,Items
Deutsches_Wörterbuch,Not found
Federal_Constitutional_Court,Not found
Frankfurt_Stock_Exchange,World
Evangelicalism,Worldwide
Hesse,State
Serbia,State
Rome,City
Tangerine,Fruit
Hans_Holbein_the_Younger,Artist
World_War_I,Not found
Peaceful_Revolution,Process
Julius_Caesar,Not found
Kosovo,Territory
Neanderthal,Species
Robert_Schumann,Composer
Lower_Paleolithic,Subdivision
Treaty_of_Lisbon,Agreement
Academy_Awards,Ceremony
Wolfram_von_Eschenbach,Knight
Babelsberg_Studio,Studio
Munich,Capital
UEFA_European_Championship,Competition
United_Nations,Organization
Frisians,Group
Greece,Country
Die_Brücke,Group
Baden-Württemberg,State
Augsburg,City
Saterland,Municipality
European_Space_Agency,Organisation
European_Film_Awards,Not found
The_Holocaust,Genocide
Westphalia,Region
European_Commission,Body
Venus,Planet
Bonn,City
Herero_people,Group
Volksmusik,Designation
Heidelberg_Castle,Not found
Proto-Indo-European_language,Reconstruction
Kristallnacht,Pogrom
House_of_Habsburg,Not found
European_Central_Bank,Bank
United_States_Navy,Branch
Johannes_Gutenberg,Blacksmith
Roman_Empire,Period
Albrecht_Dürer,Painter
Joint_Medical_Service_(Germany),Part
Renaissance,Period
Napoleon,Leader
Jasmund,Peninsula
Leipzig_University,Universities
Heinrich_Böll,Germany
Maastricht_Treaty,Not found
Oswald_Spengler,Historian
Bavaria,State
Salian_dynasty,Dynasty
Frederick_William_IV_of_Prussia,Not found
Czechoslovakia,State
New_Objectivity,Term
Immanuel_Kant,Philosopher
Joint_Support_Service_(Germany),Branch
Audi,Manufacturer
The_World_Factbook,Resource
International_Monetary_Fund,Organization
Oktoberfest,World
Robert_Wiene,Director
Neuschwanstein_Castle,Palace
BBC,Broadcaster
Federal_Fiscal_Court,Not found
Brick_Gothic,Style
Berlin_Wall,Barrier
Gamescom,Trade
Stockholm_International_Peace_Research_Institute,Institute
Willy_Brandt,Statesman
Paul_van_Dyk,DJ
Belarusians,Group
Paris_Agreement,Agreement
South_West_Africa,Not found
North_Frisian_language,Language
Ruhr,Area
Johann_Gottlieb_Fichte,Not found
Berlin_Brandenburg_Airport,Airport
Robin_Schulz,DJ
Germania,Roman
Proto-Germanic_language,Completion
Charlemagne,King
Austro-Prussian_War,War
Southern_Alps,Range
LGBT,Initialism
East_Africa,Not found
Heidelberg_University,University
Bertelsmann,Corporation
Dieterich_Buxtehude,Organist
Franco-Prussian_War,Conflict
Neue_Deutsche_Welle,Genre
Hohenstaufen,Dynasty
Saarland,States
Sebastian_Vettel,Driver
Frankfurt_School,School
Norway,Monarchy
Togoland,Protectorate
Der_Spiegel,Magazine
Gotthold_Ephraim_Lessing,Writer
New_Leipzig_School,Not found
Neuendorf-Sachsenbande,Municipality
Dresden_Frauenkirche,Church
Munich_Airport,Airport
Wirtschaftswunder,Not found
French_Revolutionary_Wars,Series
Max_Liebermann,Painter
Johann_Sebastian_Bach,Composer
Autobahn,System
Afghanistan,Country
Roman_province,Basic
Judaism,Not found
Berlin_Conference,Not found
Socialist_Unity_Party_of_Germany,Not found
Eurostat,General
Alps,Not found
Reformation,Not found
Hanseatic_League,Confederation
Klemens_von_Metternich,Politician
Kraftwerk,Band
Kamerun,Colony
Rhine,River
Western_Pomerania,Term
World_Bank,Institution
Free_Democratic_Party_of_Switzerland,Liberal
Bible,Collection
Zollverein,Coalition
Swabia,Region
China,State
Porsche,Not found
Berlin_Fashion_Week,Week
Romanesque_architecture,Style
Nazi_Party,Party
Bronze_Age,Period
George_Frideric_Handel,Not found
Wim_Wenders,Filmmaker
Rhineland,Not found
Müritz_National_Park,Park
Gottlob_Frege,Philosopher
Wartburg,Castle
Harz,Range
Michael_Schumacher,Driver
Art_Deco,Style
Felix_Mendelssohn,Composer
Nazi_Germany,Names
Sanssouci,Palace
Richard_Strauss,Composer
Saxon_Switzerland_National_Park,Park
Martin_Heidegger,Philosopher
German_Football_Association,Body
Sinti,People
Vienna,Capital
Tacitus,Senator
Balkans,Peninsula
Cambridge_University_Press,Business
Frankfurt_Airport,Airport
Berchtesgaden_National_Park,Not found
Brothers_Grimm,Academics
World_Heritage_Site,Place
Nama_people,Group
Potsdam,Capital
Bavarian_Forest_National_Park,Park
UNESCO,Agency
Michelin_Guide,Series
Augustus,Founder
Angela_Merkel,Not found
Netherlands,Not found
Wolfgang_Rihm,Rihm
Catholic_Church,Church
Olaf_Scholz,Politician
Pritzker_Architecture_Prize,Not found
Alevism,Branch
Reichstag_building,Edifice
Ukraine,Country
Napoleonic_Wars,Series
Cologne_War,Not found
North_Sea,Sea
G20,Not found
Schleswig-Holstein,Northernmost
Munich_Agreement,Settlement
NATO,Alliance
"Wilhelm_II,_German_Emperor",Emperor
Namibia,Country
Rostock,City
Karl_Marx,Philosopher
F._W._Murnau,Director
Nuremberg_Laws,Laws
Turkey,Republic
German_Unity_Day,Day
West_Africa,Subcontinent
East_Germany,State
Eastern_Bloc,Name
Nebra_(Unstrut),Town
Gründerzeit,Phase
Social_Democratic_Party_of_Germany,Party
European_Film_Academy,Initiative
France,State
Teutons,Tribe
Weser_Renaissance,Form
Berlin_Zoological_Garden,Not found
World_Health_Organization,Agency
Hungary,State
Saxony,State
Cologne_Cathedral,Cathedral
Nuremberg,City
German_Confederation,Association
Serbo-Croatian,Language
Johann_Baptist_Zimmermann,Painter
Sudetenland,Name
Atlanticism,Belief
Caspar_David_Friedrich,Painter
Werner_Herzog,Director
Johann_Wolfgang_von_Goethe,Writer
Russia,State
Freiburg_im_Breisgau,City
Weimar_Republic,Designation
Der_Blaue_Reiter,Group
Deutscher_Filmpreis,Ceremony
Olympic_Games,Event
Max_Ernst,Painter
Nordic_Bronze_Age,Period
Protestantism,Form
Garmisch-Partenkirchen,Town
Stasi,Service
BMW,Vehicles
Carolingian_dynasty,Family
Friedrich_Schiller,Poet
Austria-Hungary,Union
Cold_War,State
Bundesliga,League
Trümmerfilm,Not found
Friedrich_Ebert,Politician
Warsaw_Pact,Treaty
Baltic_Sea,Sea
Lower_Saxony,State
Karlheinz_Stockhausen,Composer
Great_Depression,Depression
Hamburg,City
Paul_Kalkbrenner,Not found
Luxembourg,Country
East_Berlin,Not found
Taliban,Movement
Thomas_Mann,Novelist
Gerhart_Hauptmann,Dramatist
Volker_Schlöndorff,Filmmaker
Wadden_Sea,Zone
Konrad_Adenauer,Not found
BBC_News,Division
Deutsche_Welle,Germany
Frankfurt_Book_Fair,World
Weimar_Constitution,Constitution
Belgium,State
North_German_Confederation_Treaty,Treaty
Scandinavia,Region
Arabic,Language
Carl_Spitzweg,Painter
Frankfurt,City
German_Revolution_of_1918–19,Conflict
Günter_Grass,Novelist
ProSiebenSat.1_Media,Company
Sorbs,People
Fritz_Lang,Filmmaker
Heimatfilm,Name
Heinrich_Brüning,Chancellor
Golden_Twenties,Term
Opel,Manufacturer
ADAC,Club
Carl_Maria_von_Weber,Composer
Leipzig_Book_Fair,Book
